0,4,34,01-01-2022
0,8,55,01-01-2022
0,12,23,01-01-2021
0,14,45,01-02-2021
0,4,35,01-02-2021
0,1,50,01-02-2021
0,18,34,01-03-2021
0,4,34,01-03-2021
0,8,55,01-03-2021
0,12,23,01-04-2021
0,4,45,01-04-2021
0,14,55,01-04-2021
0,11,54,01-05-2021
0,16,24,01-05-2021
0,4,34,01-05-2021
0,8,55,01-06-2021
0,12,23,01-06-2021
0,14,45,01-06-2021
0,4,35,01-07-2021
0,1,50,01-07-2021
0,18,34,01-07-2021
0,4,34,01-08-2021
0,8,55,01-08-2021
0,12,23,01-08-2021
0,14,45,01-09-2021
0,4,35,01-09-2021
0,1,50,01-09-2021
0,18,34,01-10-2021
0,4,34,01-10-2021
0,8,55,01-10-2021
0,12,23,01-11-2021
0,14,45,01-11-2021
0,4,35,01-11-2021
0,1,50,01-12-2021
0,18,34,01-12-2021
0,2,43,01-12-2021
0,4,34,01-01-2022
0,8,55,01-01-2022
0,12,23,01-01-2022
0,14,45,01-02-2022
0,4,35,01-02-2022
0,1,50,01-02-2022
0,18,34,01-03-2022
0,4,34,01-03-2022
0,8,55,01-03-2022
0,12,23,01-04-2022
0,4,45,01-04-2022
0,14,55,01-04-2022
0,11,54,01-05-2022
0,16,24,01-05-2022
0,4,34,01-05-2022
0,8,55,01-06-2022
0,12,23,01-06-2022
0,14,45,01-06-2022
0,4,35,01-07-2022
0,1,50,01-07-2022
0,18,34,01-07-2022
0,4,34,01-08-2022
0,8,55,01-08-2022
0,12,23,01-08-2022
0,14,45,01-09-2022
0,4,35,01-09-2022
0,1,50,01-09-2022
0,18,34,01-10-2022
0,4,34,01-10-2022
0,8,55,01-10-2022
0,12,23,01-11-2022
0,14,45,01-11-2022
0,4,35,01-11-2022
0,1,50,01-12-2022
0,18,34,01-12-2022
0,2,43,01-12-2022
0,4,34,01-01-2023
0,8,55,01-01-2023
0,12,23,01-01-2023
0,14,45,01-02-2023
0,4,35,01-02-2023
0,1,50,01-02-2023
0,18,34,01-03-2023
0,4,34,01-03-2023
0,8,55,01-03-2023
0,12,23,01-04-2023
0,4,45,01-04-2023
0,14,55,01-04-2023
0,11,54,01-05-2023
0,16,24,01-05-2023
0,4,34,01-05-2023
0,8,55,01-06-2023
0,12,23,01-06-2023
0,14,45,01-06-2023
0,4,35,01-07-2023
0,1,50,01-07-2023
0,18,34,01-07-2023
0,4,34,01-08-2023
0,8,55,01-08-2023
0,12,23,01-08-2023
0,14,45,01-09-2023
0,4,35,01-09-2023
0,1,50,01-09-2023
0,18,34,01-10-2023
0,4,34,01-10-2023
0,8,55,01-10-2023
0,12,23,01-11-2023
0,14,45,01-11-2023
0,4,35,01-11-2023
0,1,50,01-12-2023
0,18,34,01-12-2023
0,2,43,01-12-2023
